n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
5,480,24,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.03978504199767485,0.015119458985282108,0.00022837499273009598,0.05513287597568706,0,0,1.158832814585256e-12,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.039646458986680955,0.015564917004667222,0.04357775000971742,0.0987891260010656,99,0,9.698495816008831e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.05964137500268407,0.009446208976441994,0.0454604999977164,0.11454808397684246,99,0,9.485703090543995e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.04071241698693484,0.016051209007855505,0.0001803330087568611,0.056943959003547207,0,0,4.590165855153989e-13,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.04032445800839923,0.015988417027983814,0.06447558299987577,0.12078845803625882,144,0,8.84539961197409e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.3,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.05873329201131128,0.009999583009630442,0.06665033401804976,0.13538320903899148,144,0,9.347682916355353e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.04034075001254678,0.015591875009704381,0.00017087499145418406,0.05610350001370534,0,0,1.6325316390959828e-12,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.03925216701463796,0.016073749982751906,0.29893308400642127,0.35425900100381114,675,0,9.629771999280931e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.059171332977712154,0.009745875024236739,0.30902049998985603,0.3779377079918049,675,0,9.325864563721235e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.03952429100172594,0.015567666996503249,0.00018166698282584548,0.055273624981055036,0,0,2.026143584937525e-12,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.04099629100528546,0.015973500005202368,0.19194162500207312,0.24891141601256095,433,0,9.893923035016866e-09,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.0591620420163963,0.009428290999494493,0.1995865839999169,0.2681769170158077,437,0,7.79509595008112e-09,-1,124,2400000,2400000,282900,588000,9408000.0,795,0,4800000,0
5,480,24,2400,0.5,0.95,10000.0,0.9,7,direct_cholmod,ok,0.040236417000414804,0.01610241600428708,0.00019725001766346395,0.05653608302236535,0,0,1.1295925506875564e-12,316225,-1,-1,-1,282900,588000,9408000.0,795,0,4800000,0
